target_definition,target,comparison,scale,model_family,validation_design,held_out_region,n_train,n_test,test_positive_events,test_event_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,feature_count,features
A_original_decline_state,decline_event_next,M0_nearest_grid_baseline,nearest,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.800339695088934,0.6272614201718679,0.8059701492537313,0.6666666666666666,0.7297297297297297,0.49389416553595655,0.2244322367504533,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M0_nearest_grid_baseline,nearest,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7633831744478944,0.6443351424694708,0.208955223880597,0.875,0.3373493975903614,0.5741745816372682,0.2749973670391554,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M1_idw_k4_main_interpolation,idw_k4,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.8022751315421924,0.6277702397105382,0.8134328358208955,0.6687116564417178,0.734006734006734,0.4976255088195387,0.22417937259062895,4,oisst_idw_k4_annual_mean_sst_anomaly_idw;oisst_idw_k4_hot_days_p90_idw;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M1_idw_k4_main_interpolation,idw_k4,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7113983257801177,0.6040818634102217,0.30597014925373134,0.6833333333333333,0.422680412371134,0.5090456806874717,0.2983164322750431,4,oisst_idw_k4_annual_mean_sst_anomaly_idw;oisst_idw_k4_hot_days_p90_idw;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_idw_k8_sensitivity,idw_k8,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.8040503742280835,0.6304839439167798,0.8134328358208955,0.6687116564417178,0.734006734006734,0.4976255088195387,0.22418021108543915,4,oisst_idw_k8_annual_mean_sst_anomaly_idw;oisst_idw_k8_hot_days_p90_idw;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_idw_k8_sensitivity,idw_k8,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7065444759235847,0.6162369968340118,0.27611940298507465,0.7115384615384616,0.3978494623655914,0.5244233378561737,0.2970994118385451,4,oisst_idw_k8_annual_mean_sst_anomaly_idw;oisst_idw_k8_hot_days_p90_idw;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_buffer_25km,25km,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.806761507090717,0.6359678878335595,0.8134328358208955,0.6646341463414634,0.7315436241610739,0.4900497512437811,0.22396485872543992,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_buffer_25km,25km,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7660779577485628,0.5752487562189054,0.17164179104477612,0.92,0.2893081761006289,0.5706693803708729,0.2957379586776214,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_fixed_30km_buffer,30km,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.8060702808102995,0.636420171867933,0.8134328358208955,0.6606060606060606,0.7290969899665551,0.4824739936680235,0.22390991821819545,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_fixed_30km_buffer,30km,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7861204707128954,0.6002374491180461,0.23134328358208955,1.0,0.37575757575757573,0.6156716417910448,0.28777608763989543,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_buffer_50km,50km,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.8016362211794382,0.628165988240615,0.8208955223880597,0.6586826347305389,0.7308970099667774,0.47862957937584805,0.22437917267902224,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_buffer_50km,50km,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7874337218183598,0.5932270465852555,0.19402985074626866,0.9285714285714286,0.32098765432098764,0.5818634102216191,0.3091285261372824,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_buffer_75km,75km,Logistic Regression L2,temporal_holdout,none,1400,200,134,0.67,0.8056457411756853,0.6273744911804613,0.8134328358208955,0.6566265060240963,0.7266666666666667,0.47489823609226595,0.22382092369508183,5,oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_buffer_75km,75km,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7405406728548006,0.5853686114880144,0.21641791044776118,0.90625,0.3493975903614458,0.5854816824966079,0.3016046699566005,5,oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
