target_definition,target_column,feature_family,model,learning_strategy,sampling_ratio,hard_negative_rule,precision_floor,threshold,selection_split,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,selected_threshold,selected_for_precision_floor,precision_floor_fallback_used
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.050000,validation,0.512301,0.834407,1.000000,0.372727,0.543046,0.748175,0,69,41,90,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.100000,validation,0.512301,0.834407,1.000000,0.376147,0.546667,0.750916,0,68,41,91,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.150000,validation,0.512301,0.834407,0.975610,0.373832,0.540541,0.738007,1,67,40,92,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.200000,validation,0.512301,0.834407,0.951220,0.375000,0.537931,0.727612,2,65,39,94,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.250000,validation,0.512301,0.834407,0.926829,0.380000,0.539007,0.719697,3,62,38,97,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.300000,validation,0.512301,0.834407,0.878049,0.382979,0.533333,0.697674,5,58,36,101,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.400000,validation,0.512301,0.834407,0.829268,0.447368,0.581197,0.708333,7,42,34,117,0.400000,True,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.500000,validation,0.512301,0.834407,0.707317,0.467742,0.563107,0.641593,12,33,29,126,0.400000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.050000,validation,0.512301,0.834407,1.000000,0.372727,0.543046,0.748175,0,69,41,90,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.100000,validation,0.512301,0.834407,1.000000,0.376147,0.546667,0.750916,0,68,41,91,0.100000,True,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.150000,validation,0.512301,0.834407,0.975610,0.373832,0.540541,0.738007,1,67,40,92,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.200000,validation,0.512301,0.834407,0.951220,0.375000,0.537931,0.727612,2,65,39,94,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.250000,validation,0.512301,0.834407,0.926829,0.380000,0.539007,0.719697,3,62,38,97,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.300000,validation,0.512301,0.834407,0.878049,0.382979,0.533333,0.697674,5,58,36,101,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.400000,validation,0.512301,0.834407,0.829268,0.447368,0.581197,0.708333,7,42,34,117,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,Random Forest,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.500000,validation,0.512301,0.834407,0.707317,0.467742,0.563107,0.641593,12,33,29,126,0.100000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.050000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,True,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.100000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.150000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.200000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.250000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.300000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.400000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.500000,validation,0.598895,0.866314,0.902439,0.359223,0.513889,0.692884,4,66,37,93,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.050000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,True,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.100000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.150000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.200000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.250000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.300000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.400000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.500000,validation,0.598895,0.866314,0.902439,0.359223,0.513889,0.692884,4,66,37,93,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.050000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,True,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.100000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.150000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.200000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.250000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.300000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.400000,validation,0.598895,0.866314,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,XGBoost,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.500000,validation,0.598895,0.866314,0.902439,0.359223,0.513889,0.692884,4,66,37,93,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.050000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,True,False
